Ime,Regija,Sektor,Sistem,Prebivalstvo
Tholoth,Colonies,Unknown,Tholoth system,Tholothians
Thorat IX,Outer Rim Territories,Unknown,Unknown,Unknown
Thrad,Unknown,Unknown,Unknown,Thradians
Throffdon,Inner Rim Territories,Unknown,Throffdon system,Unknown
Thule,Outer Rim Territories,Esstran sector,Thurra system,Unknown
Thunder,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Thune,Wild Space,Unknown,Unknown,Various
Thustra,Expansion Region,Unknown,Thustra system,Unknown
Thyferra,Inner Rim Territories,Unknown,Unknown,Vratix
Tibrin,Mid Rim Territories,Hadar sector,Unknown,Ishi Tib
Tierfon,Expansion Region,Unknown,Unknown,Unknown
Tiferep Major,Mid Rim Territories,Unknown,Unknown,Unknown
Tiikae,Unknown,Unknown,Unknown,Various
Tinnel IV,Core Worlds,Unknown,Unknown,Humans
Tinoon,Outer Rim Territories,Anoat sector,Unknown,Unknown
Tish,Unknown,Unknown,Unknown,Unknown
Tokmia,Outer Rim Territories,Anoat sector,Unknown,Unknown
Toledian,Mid Rim Territories,Unknown,Unknown,Unknown
Toola,Outer Rim Territories,Unknown,Unknown,Whiphids
Toprawa,Outer Rim Territories,Unknown,Unknown,Unknown
Torrenoteer Minor,Unknown,Unknown,Torrenoteer system,Unknown
Touksingal,Unknown,Unknown,Unknown,Unknown
Toydaria,Mid Rim Territories,Hutt Space,Toydaria system,Toydarians
Tralus,Core Worlds,Corellian sector,Corellia system,Unknown
Trandosha,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Trandoshans
Trasse,Mid Rim Territories,Unknown,Unknown,Unknown
Triffis,Mid Rim Territories,Unknown,Unknown,Unknown
Trionak,Outer Rim Territories,"Kiax Nebula,Anoat sector",Unknown,Unknown
Trivar II,Outer Rim Territories,Unknown,Unknown,Unknown
Troiken,Outer Rim Territories,Unknown,Unknown,Xexto
Troithe,Deep Core,Unknown,Cerberon system,Unknown
Trymant IV,Outer Rim Territories,Unknown,Trymant system,Various
Tsevuka,Outer Rim Territories,Unknown,Unknown,Tsevukans
Tund,Outer Rim Territories,Centrality,Tund system,Toongs
Tunguray,Unknown,Unknown,Unknown,Tunguray
Tureen VII,Outer Rim Territories,Unknown,Unknown,Unknown
Turkana,Outer Rim Territories,Unknown,Unknown,Unknown
Turrak,Outer Rim Territories,Unknown,Sevarcos system,Scalvi
Twon Ketee,Unknown,Unknown,Unknown,Unknown
Tyegin,Unknown,Unknown,Unknown,Various
Tynna,Expansion Region,Unknown,Unknown,Tynnans
Tython,Deep Core,Unknown,Tython system,Unknown
Uba IV,Mid Rim Territories,Barsa sector,Uba system,Ubese
Ubardia,Colonies,Unknown,Unknown,Humans
Uchinao,Outer Rim Territories,Unknown,Five Points system,Unknown
Ukio,Outer Rim Territories,Abrion sector,Unknown,Ukians
Umbara,Expansion Region,Ghost Nebula sector,Umbara system,Umbarans
Umme,Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified agricultural planet,Unknown,Unknown,Unknown,Unknown
Unidentified backwater icy planet,Unknown,Unknown,Unknown,Unknown
Unidentified city planet,Unknown,Unknown,Unknown,Unknown
Unidentified desert planet,Unknown,Unknown,Unknown,Unknown
Unidentified forest planet,Unknown,Unknown,Unknown,Unknown
Unidentified Gank homeworld,Outer Rim Territories,Hutt Space,Unknown,Ganks
Unidentified gas giant (Sentinel Base),Outer Rim Territories,Arkanis sector,Sentinel Base system,Unknown
Unidentified green planet,Unknown,Unknown,Unknown,Unknown
Unidentified jungle planet,Unknown,Unknown,Unknown,Unknown
Unidentified lava planet,Unknown,Unknown,Unknown,Unknown
Unidentified night world,Unknown,Unknown,Unknown,Unknown
Unidentified ocean planet,Unknown,Unknown,Unknown,Unidentified aquatic species
Unidentified Outer Rim planet (Jenra),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified Outer Rim planet (Jul Jerjerrod),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified Outer Rim planet (Slitherette),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Bylsma),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Cora Vessora),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Dene Gois Cluster),Unknown,Unknown,Dene Gois Cluster,Unknown
Unidentified planet (Dragon Void Run),Unknown,Unknown,Unknown,Unknown
Unidentified planet (droid uprising),Wild Space,Unknown,Unknown,Unknown
Unidentified planet (Eeth Koth),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Emil Graf),Wild Space,Unknown,Unknown,Unknown
Unidentified planet (Faraz),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Freidal),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Han Solo),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Havoc Outpost),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Horizon Base),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Ilum system),Unknown Regions,7G sector,Ilum system,Unknown
Unidentified planet (Jaxxon),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Kanina Nico),Unknown,Unknown,Huru system,Humans
Unidentified planet (Klikklak),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Lexim),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Live islands),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Lupr'or),Unknown,Unknown,Unknown,Lupr'or
Unidentified planet (Magna Tolvan),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Monsua Nebula),Outer Rim Territories,Moddell sector,Monsua Nebula,Unknown
Unidentified planet (Neijaian),Unknown,Unknown,Unknown,Unidentified species
Unidentified planet (Nes Ukul),Unknown,Unknown,Unknown,Unidentified species
Unidentified planet (Outer Rim Territories),Outer Rim Territories,Unknown,Thabeska system,Unknown
Unidentified planet (Poe Dameron),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Raada),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (sabacc),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Sunshi system),Unknown,Unknown,Sunshi system,Unknown
Unidentified planet (Tholme and Ventress),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Thrawn's exile),Wild Space,Unknown,Unknown,Unknown
Unidentified purple gas giant,Unknown,Unknown,Unidentified star system,Unknown
Unidentified ringed planet,Unknown,Regani sector,Unknown,Unknown
Unidentified Snee homeworld,Unknown,Unknown,Unknown,Unknown
Unidentified Squamatan homeworld,Unknown,Unknown,Unknown,Squamatans
Unidentified uninhabited volcanic planet,Unknown,Unknown,Unidentified volcanic planet system,Unknown
Uquine,Colonies,Unknown,Unknown,Humans
Urajab,Expansion Region,Unknown,Unknown,Unknown
Urch,Unknown Regions,Unknown,Urch system,Urchiv-ki
Uro,Unknown,Unknown,Unknown,Unidentified arachnid
Ushruu,Expansion Region,Unknown,Unknown,Unknown
Utapau,Outer Rim Territories,Tarabba sector,Utapau system,"Amani,Pau'ans,Sugi,Utai"
Uvena Prime,Outer Rim Territories,Unknown,Uvena system,Shistavanens
Uyter,Mid Rim Territories,Unknown,Unknown,Humans
Vaal,Unknown,Unknown,Unknown,Unknown
Vadran,Unknown,Unknown,Unknown,Unknown
Vagadarr Prime,Unknown,Unknown,Vagadarr system,Unknown
Valahari,Unknown,Unknown,Unknown,Unknown
Vallt,Outer Rim Territories,Unknown,Unknown,Valltii
Valo,Outer Rim Territories,Rseik sector,Valo system,Various
Valron,Unknown,Unknown,Unknown,Unknown
Valtos,Unknown,Unknown,Unknown,Unknown
Vandor,Mid Rim Territories,Sloo sector,Unknown,Unknown
Vanqor,Outer Rim Territories,Unknown,Vanqor system,Unknown
Vardos,Core Worlds,Unknown,Jinata system,"Aqualish,Humans"
Varkana,Outer Rim Territories,Unknown,Varkana system,Unknown
Varnak,Mid Rim Territories,Unknown,Unknown,Unknown
Var-Shaa,Mid Rim Territories,Unknown,Unknown,Unknown
Vashka,Outer Rim Territories,Unknown,Unknown,Unknown
Vassek,Outer Rim Territories,Wazta sector,Vassek system,Unknown
Vavarna,Unknown,Unknown,Unknown,Unknown
Velusia,Unknown,Unknown,Velusia system,Velusians
Vendaxa,Expansion Region,Unknown,Unknown,Unknown
Vernid,Outer Rim Territories,Unknown,Unknown,Unknown
Veros,Unknown,Unknown,Unknown,Verosians
Vertseth,Unknown,Unknown,Unknown,Unknown
Verzan,Deep Core,Unknown,Cerberon system,Unknown
Vespaara,Outer Rim Territories,Unknown,Unknown,Unknown
Vetine,Inner Rim Territories,Merrick sector,Unknown,Unknown
Viamarr,Unknown,Unknown,Unknown,Unknown
Vincorba,Expansion Region,Unknown,Unknown,Unknown
Vir Aphshire,Unknown,Unknown,Unknown,Unknown
Virujansi,Unknown,Unknown,Unknown,Humans
Vixnix,Mid Rim Territories,Unknown,Unknown,Unknown
Vjun,Outer Rim Territories,Unknown,Unknown,Unknown
Vlemoth Port,Outer Rim Territories,Instrop sector,Vlemoth Port system,Unknown
Vodran,Hutt Space,Si'Klaata Cluster,Unknown,Vodrans
Vorlag,Outer Rim Territories,Unknown,Unknown,Vorlaggn
Vorzyd V,Outer Rim Territories,Vorzyd sector,Unknown,Unknown
Vrant Tarnum,Unknown,Unknown,Stygmarn system,Unknwon
Vrogas Vas,Outer Rim Territories,Unknown,Unknown,Humans
Vulpter,Deep Core,Unknown,Unknown,Unknown
Vurdon Ka,Inner Rim Territories,Unknown,Unknown,Vuvrians
Vyndal,Unknown,Unknown,Unknown,Unidentified species
Wadi Raffa,Outer Rim Territories,Unknown,Unknown,Unknown
Warlentta,Mid Rim Territories,Unknown,Warlentta system,Humans
Watassay,Outer Rim Territories,Unknown,Five Points system,Unknown
Water,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Wecacoe,Colonies,Unknown,Unknown,Various
Weik,Wild Space,Unknown,Weik system,Various
Wellspring of Life,Deep Core,Unknown,Unknown,Midi-chlorians
Weyland,Mid Rim Territories,Unknown,Unknown,Unknown
Whiforla II,Unknown,Unknown,Unknown,Whiforlans
Wick 111,Outer Rim Territories,Unknown,Unknown,Wickwar
Wind,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Wobani,Mid Rim Territories,Bryx sector,Wobani system,Humans
Wrea,Outer Rim Territories,Unknown,Unknown,Wreans
Wynkahthu,Mid Rim Territories,Unknown,Unknown,Unknown
Xais,Outer Rim Territories,Rocun Cluster,Unknown,Unknown
Xala,Wild Space,Unknown,Xala system,Unknown
Xendek,Unknown,Unknown,Unknown,Xendekians
Xibariz,Inner Rim Territories,Unknown,Unknown,Unknown
Xirl,Wild Space,Unknown,Unknown,Unknown
Xorrn,Outer Rim Territories,Ferra sector,Xorrn system,Unknown
Yabol Opa,Colonies,Unknown,Unknown,Unknown
Yaga Minor,Outer Rim Territories,Unknown,Unknown,Unknown
Yag'Dhul,Inner Rim Territories,Unknown,Unknown,Givin
Yakorki,Outer Rim Territories,Unknown,Unknown,Unknown
Yamradi,Unknown,Unknown,Unknown,Unknown
Yar Togna,Outer Rim Territories,Unknown,Unknown,Tognath
Yarma,Outer Rim Territories,Unknown,Yarma system,Unknown
Yarrum,Outer Rim Territories,Tenoo's sector,Unknown,Unknown
Yavin Prime,Outer Rim Territories,Gordian Reach,Yavin system,Unknown
Yeksom,Outer Rim Territories,Unknown,Unknown,Unknown
Yerbana,Outer Rim Territories,Savareen sector,Unknown,Unknown
Ylesia,Outer Rim Territories,Unknown,Unknown,Unknown
Yotch,Unknown,Unknown,Unknown,Unknown
Yoturba,Mid Rim Territories,Unknown,Unknown,Unknown
Yout,Unknown,Unknown,Yout system,Unknown
Yungbrii,Mid Rim Territories,Unknown,Opalok system,Humans
Zaadja,Outer Rim Territories,Savareen sector,Unknown,Unknown
Zastiga,Outer Rim Territories,Unknown,Unknown,Unknown
Zav Alox,Unknown,Unknown,Unknown,Aloxian
Zeffo,Outer Rim Territories,Unknown,Zeffo system,Zeffonian
Zeitooine,Inner Rim Territories,Unknown,Unknown,Unknown
Zhanox,Outer Rim Territories,Anoat sector,Zhanox system,Ugnaughts
Zoh,Unknown,Unknown,Unknown,Unknown
Zolan,Mid Rim Territories,Lambda sector,Unknown,Clawdites
Zoph,Outer Rim Territories,Unknown,Unknown,Unknown
Zygerria,Outer Rim Territories,Chorlian sector,Zygerria system,Zygerrians
Zyzar,Unknown,Unknown,Unknown,Unknown
Zyzek,Unknown Regions,Unknown,Zyzek system,Unknown
5251977,Unknown,Unknown,Unknown,Unknown
Aaloth,Outer Rim Territories,Gaulus sector,Unknown,Twi'leks
Aargonar,Unknown,Unknown,Unknown,Humans
Ab Dalis,Outer Rim Territories,Unknown,Ab Dalis system,Unknown
Abafar,Outer Rim Territories,Sprizen sector,Abafar system,Various
Abednedo,Colonies,Unknown,Unknown,Abednedo
Abelor,Mid Rim Territories,Unknown,Unknown,Unknown
Abregado-rae,Core Worlds,Unknown,Abregado system,Unknown
Absanz,Unknown,Unknown,Unknown,Unknown
Actlyon,Outer Rim Territories,Unknown,Unknown,Unknown
Adelphi,Unknown,Unknown,Adelphi system,Unknown
Aeos Prime,Outer Rim Territories,Unknown,Aeos system,Aeosians
Aeten II,Wild Space,Unknown,Unknown,Unknown
Affa,Unknown,Unknown,Unknown,Unknown
Affadar,Unknown,Unknown,Unknown,T'Laeem
Agamar,Outer Rim Territories,Unknown,Agamar system,Unknown
Agaris,Wild Space,Unknown,Unknown,Agarian
Agoliba-Ado,Unknown,Unknown,Agoliba-Tu system,Unknown
Agoliba-Ena,Unknown,Unknown,Agoliba-Tu system,Unknown
Ahch-To,Unknown Regions,Unknown,Ahch-To system,"Human,Lanai"
Ajara,Outer Rim Territories,Cademimu sector,Unknown,Unknown
Akiva,Outer Rim Territories,Unknown,Unknown,"Ahia-Ko,Uugteen"
Alaris,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Unknown
Alderaan,Core Worlds,Alderaan sector,Alderaan system,Humans(Alderaanian)
Aldhani,Unknown,Unknown,Unknown,Humans(Dhani)
Aleen,Mid Rim Territories,Bright Jewel sector,Aleen system,"Aleena,Kindalo"
Aleen Minor,Mid Rim Territories,Bright Jewel sector,Aleen system,Aleena
Allst Prime,Unknown,Unknown,Unknown,Unknown
Aloxl,Deep Core,Unknown,Unknown,Unknown
Aloxor,Mid Rim Territories,Esaga sector,Aloxor system,Unknown
Alpinn,Outer Rim Territories,Unknown,Unknown,Unknown
Alun,Mid Rim Territories,Unknown,Unknown,Unknown
Alzoc III,Outer Rim Territories,Sujimis sector,Unknown,Talz
Ambria,Inner Rim Territories,Unknown,Unknown,Unknown
Amethia Prime,Inner Rim Territories,Unknown,Unknown,Unknown
Ammon IV,Outer Rim Territories,Unknown,Unknown,Unknown
Ammuud,Outer Rim Territories,Corporate Sector,Unknown,Unknown
Anantapar,Outer Rim Territories,Anoat sector,Unknown,Unknown
Anaxes,Outer Rim Territories,Azure sector,Azure system,Unknown
Andelm IV,Outer Rim Territories,Unknown,Unknown,Various
Ando,Mid Rim Territories,Lambda sector,Ando system,Aqualish
Ando Prime,Unknown,Unknown,Unknown,Unknown
Andraven,Unknown,Unknown,Unknown,Unidentified species
Anelsana,Unknown,Unknown,Unknown,Unknown
Angcord,Unknown,Unknown,Unknown,Unknown
Ankhural,Mid Rim Territories,Unknown,Unknown,Unknown
Anoat,Outer Rim Territories,Anoat sector,Anoat system,Unknown
Ansion,Mid Rim Territories,Unknown,Unknown,Unknown
Antar,Inner Rim Territories,Unknown,Unknown,Unknown
Anthan Prime,Outer Rim Territories,Albarrio sector,Anthan system,Various
Aquaris,Expansion Region,Unknown,Unknown,Unknown
Aq Vetina,Unknown,Unknown,Unknown,Unknown
Arbiflux,Outer Rim Territories,Unknown,Unknown,Unknown
Arbooine,Outer Rim Territories,Unknown,Unknown,Sathari
Arbra,Outer Rim Territories,Bon'nyuw-Luq sector,Unknown,Unknown
Arcana,Unknown,Unknown,Unknown,Unknown
Argai Minor,Unknown,Unknown,Unknown,Unknown
Aria Prime,Unknown,Unknown,Unknown,Unknown
Aridus,Expansion Region,Unknown,Unknown,Unknown
Arieli,Unknown,Unknown,Unknown,Unknown
Arkania,Colonies,Unknown,Unknown,Arkanian
Arkanis,Outer Rim Territories,Arkanis sector,Arkanis system,Humans
Aris,Unknown,Unknown,Unknown,Humans
Arreyel,Inner Rim Territories,Unknown,Unknown,Unknown
Artemesium,Unknown,Unknown,Unknown,Unknown
Artiod Minor,Wild Space,Morellian Commonwealth,Artiod system,Artiodacs
Arvala-7,Unknown,Unknown,Unknown,Unknown
Ashas Ree,Outer Rim Territories,Unknown,Unknown,Unknown
Askaji,Outer Rim Territories,Unknown,Unknown,Askajian
Asmeru,Mid Rim Territories,Senex sector,Unknown,Unknown
Asusto,Outer Rim Territories,Unknown,Unknown,Unknown
Athulla,Core Worlds,Unknown,Jinata system,Unknown
Atollon,Outer Rim Territories,Lothal sector,Atollon system,Unknown
Atraken,Unknown,Unknown,Unknown,Unknown
Atterra Alpha,Outer Rim Territories,Unknown,Atterra system,Unknown
Atterra Bravo,Outer Rim Territories,Unknown,Atterra system,Humans(Atterran)
Atterra Primo,Outer Rim Territories,Unknown,Atterra system,Unknown
Aubadas,Outer Rim Territories,Dalnan sector,Unknown,Unknown
Auratera,Outer Rim Territories,Vorzyd sector,Auratera system,Various
Avedot,Colonies,Unknown,Unknown,Unknown
Avidich,Unknown Regions,Unknown,Unknown,Unknown
Axxila,Outer Rim Territories,Unknown,Unknown,Humans
Aynaboni,Unknown,Unknown,Unknown,Unknown
Bakura,Wild Space,Unknown,Unknown,Unknown
Balnab,Mid Rim Territories,Unknown,Unknown,Balnab(stranded)
Balosar,Core Worlds,Unknown,Unknown,Balosar
Bamayar,Mid Rim Territories,Unknown,Unknown,Unknown
Bamayar IX,Unknown,Unknown,Unknown,Unknown
Banas,Outer Rim Territories,Unidentified sector,Unidentified system,Unidentified species
Banchii,Outer Rim Territories,Unknown,Inugg system,Banchiian
B'ankora homeworld,Unknown,Unknown,Unknown,B'ankora
Baraan-Fa,Outer Rim Territories,Unknown,Unknown,Humans
Barab I,Outer Rim Territories,Unknown,Unknown,Barabel
Bardelberan 7,Mid Rim Territories,Unknown,Unknown,Unknown
Bardotta,Colonies,Shasos sector,Bardotta system,Bardottans
Bar'leth,Core Worlds,Unknown,Unknown,Humans
Bartokan V,Unknown,Unknown,Unknown,Bonbrak
Barton IV,Unknown,Unknown,Unknown,Unknown
Bastatha,Inner Rim Territories,Unknown,Bastatha system,Niktos
Basteel,Outer Rim Territories,Corva sector,Unknown,Unknown
Bastion,Outer Rim Territories,Unknown,Unknown,Unknown
Batonn,Outer Rim Territories,Batonn sector,Batonn system,Unknown
Batuu,Outer Rim Territories,Trilon sector,Batuu system,Various
Batuv,Expansion Region,Unknown,Unknown,Unknown
Bavva,Outer Rim Territories,Anoat sector,Unknown,Unknown
Bedlam,Unknown,Unknown,Unknown,Unknown
Begamor,Outer Rim Territories,Unknown,Unknown,Various
Behpour,Mid Rim Territories,Chommell sector,Unknown,Unknown
Belderone,Outer Rim Territories,Unknown,Belderone system,Unknown
Bendeluum,Outer Rim Territories,Anoat sector,Unknown,Unknown
Benetage,Outer Rim Territories,Unknown,Unknown,Unknown
Benglor,Unknown,Unknown,Unknown,Unknown
Bernilla,Inner Rim Territories,Unknown,Unknown,Unknown
Berzite,Outer Rim Territories,Unknown,Yost system,Unknown
Bespin,Outer Rim Territories,Anoat sector,Bespin system,"Humans,Ugnaughts"
Bestine IV,Inner Rim Territories,Unknown,Unknown,Unknown
Bestoon,Unknown,Unknown,Unknown,Unknown
Bilzen,Unknown,Unknown,Unknown,Unknown
Birren,Inner Rim Territories,Unknown,Unknown,Unknown
Birukay,Outer Rim Territories,Unknown,Unknown,Unknown
Bith,Outer Rim Territories,Unknown,Unknown,Bith
Bleuf,Core Worlds,Unknown,Unknown,Unknown
Blutopia,Expansion Region,Unknown,Unknown,Blutopians
Bogano,Outer Rim Territories,Unknown,Unknown,"Humans,Zeffonian"
Boneworld,Unknown,Unknown,Unknown,Unknown
Bora Vio,Unknown,Unknown,Lido system,Unknown
Bormus,Mid Rim Territories,Unknown,Unknown,Unknown
Botajef,Outer Rim Territories,Belsmuth sector,Botajef system,Jefi
Bothawui,Mid Rim Territories,Bothan Space,Unknown,Unknown
Botor,Core Worlds,Unknown,Unknown,Lo's species
Boz Pity,Mid Rim Territories,Unknown,Boz Pity system,Unknown
Bracca,Mid Rim Territories,Unknown,Bracca system,Unknown
Bray,Unknown,Unknown,Unknown,Brayan
Brentaal IV,Core Worlds,Bormea sector,Unknown,"Herglics,Humans"
Bri'n,Unknown,Unknown,Unknown,Unknown
Bromlarch,Mid Rim Territories,Unknown,Unknown,Unknown
Burnin Konn,Outer Rim Territories,Anoat sector,Burnin Konn system,"Humans,Nothoiins"
Byss,Deep Core,Unknown,Unknown,Unknown
Cabarria,Colonies,Unknown,Unknown,Unknown
Cadomai Prime,Outer Rim Territories,Unknown,Unknown,Snivvian
Calcoraan,Inner Rim Territories,Unknown,Calcoraan system,Unknown
Calior,Outer Rim Territories,Unknown,Unknown,Unknown
Caloria,Unknown,Tapani sector,Unknown,Unknown
Camson,Unknown,Unknown,Unknown,Unknown
Candovant,Colonies,Unknown,Unknown,Unknown
Cantonica,Outer Rim Territories,Corporate Sector,Cantonica system,Various
Caragon-Viner,Unknown,Unknown,Unknown,Unknown
Carajam,Outer Rim Territories,Unknown,Unknown,Unknown
Cardota,Core Worlds,Unknown,Hosnian system,Unknown
Carida,Colonies,Unknown,Carida system,Unknown
Carlac,Outer Rim Territories,Unknown,Carlac system,Humans(Ming Po)
Carnelion IV,Unknown,Unknown,Unknown,"Fishers,Humans"
Castell,Colonies,Unknown,Castell system,"Gossams,Humans"
Castilon,Mid Rim Territories,Tashtor sector,Castilon system,Chelidae
Catadra,Deep Core,Unknown,Cerberon system,Unknown
Cato Neimoidia,Colonies,Quellor sector,Cato Neimoidia system,Neimoidians
Cavas,Core Worlds,Bormea sector,Brentaal System,Unknown
Celwis,Unknown Regions,Unknown,Celwis system,Unknown
Cerea,Mid Rim Territories,Unknown,Unknown,Cerean
Cermau,Outer Rim Territories,Unknown,Unknown,Unknown
CeSai,Unknown,Unknown,Unknown,Unknown
Chaaktil,Inner Rim Territories,Unknown,Unknown,Humans
Chad,Outer Rim Territories,Unknown,Unknown,Chadra-Fan
Chadawa,Inner Rim Territories,Croynar sector,Chadawa system,Unknown
Chagar IX,Outer Rim Territories,Unknown,Unknown,Unknown
Chal Hudda,Outer Rim Territories,Unknown,Unknown,Chalhuddan
Chalacta,Mid Rim Territories,Unknown,Unknown,Chalactans
Champala,Inner Rim Territories,Unknown,Unknown,Chagrians
Chandar's Folly,Outer Rim Territories,Unknown,Unknown,Unknown
Chandel,Unknown,Unknown,Unknown,Unknown
Chandrila,Core Worlds,Bormea sector,Chandrila system,"Humans,Pantorans"
Charros IV,"Outer Rim Territories,The Slice",Unknown,Unknown,Unknown
Chasmeene,Unknown,Unknown,Unknown,Unknown
Chespea,Unknown,Unknown,Unknown,Unknown
Chibbier,Outer Rim Territories,Unknown,Unknown,Unknown
Cholganna,Outer Rim Territories,Unknown,Unknown,Unknown
Chommell Minor,Mid Rim Territories,Chommell sector,Unknown,Unknown
Chorin,Unknown,Unknown,Unknown,Humans
Choss,Unknown,Unknown,Unknown,Unknown
Christophsis,Outer Rim Territories,Savareen sector,Christoph system,Unknown
Chrona,Unknown,Unknown,Unknown,Unknown
Cianap,Unknown,Unknown,Unknown,Unknown
Clerion,Unknown,Unknown,Unknown,None
Codia I,Mid Rim Territories,Unknown,Codia system,Unknown
Colla IV,Inner Rim Territories,Unknown,Unknown,Colicoid
Colonial Station Camco,Unknown Regions,Unknown,Unknown,Unknown
Commenor,Colonies,Unknown,Unknown,Unknown
Cona,Inner Rim Territories,Unknown,Unknown,Arcona
Concord Dawn,Outer Rim Territories,Mandalore sector,Concord Dawn system,Humans
The Contessa's homeworld,Unknown,Unknown,Unknown,Humans
Corellia,Core Worlds,Corellian sector,Corellia system,"Humans(Corellian),Various"
Corulag,Core Worlds,Unknown,Unknown,Humans
Coruscant,Core Worlds,"Corusca sector,Coruscant subsector",Coruscant system,Various
Corvus,Outer Rim Territories,Unknown,Unknown,Unknown
Cos Secundu,Deep Core,Cosian Space,Unknown,Nu-Cosian
Cosia,Deep Core,Cosian Space,Cosia system,Cosian
Cosmatanic Steppes gas giant,Outer Rim Territories,Unknown,Unknown,Unknown
Council,Outer Rim Territories,Anoat sector,Unknown,Unknown
Courtsilius,Core Worlds,Unknown,Hosnian system,Unknown
Coyerti,Mid Rim Territories,Unknown,Unknown,Coyerti
Crait,Outer Rim Territories,Unknown,Crait system,Unknown
Crucival,Outer Rim Territories,Tion Hegemony,Unknown,Unknown
Crul,Mid Rim Territories,Unknown,Unknown,"Crolutes,Gilliands"
Csilla,Unknown Regions,Unknown,Csilla system,Chiss
Cuyacan,Expansion Region,Unknown,Unknown,Unknown
Cyclor,Mid Rim Territories,Unknown,Unknown,Cyclorrians
Cyphar,Mid Rim Territories,Unknown,Unknown,Cyphari
Cyrillia,Expansion Region,Unknown,Unknown,Unknown
Cyrkon,Outer Rim Territories,Unknown,Unknown,Unknown
Czerialus,Unknown,Unknown,Unknown,Czerialan
Daghee,Unknown,Unknown,Unknown,Humans
Dagobah,Outer Rim Territories,Sluis sector,Dagobah system,Tash
Daivak,Outer Rim Territories,Unknown,Unknown,Unknown
Daiyu,Unknown,Unknown,Unknown,Unknown
Dallenor,Mid Rim Territories,Unknown,Unknown,Unknown
Dalna,Outer Rim Territories,Dalnan sector,Unknown,Various
Damanos,Unknown,Unknown,Unknown,Unknown
Dandoran,Hutt Space,Unknown,Doran system,Unknown
Dantooine,Outer Rim Territories,Raioballo sector,Dantooine system,Humans
Darlyn Boda,Outer Rim Territories,Anoat sector,Unknown,Unknown
Daro,Outer Rim Territories,Unknown,Unknown,Unknown
Dasoor,Mid Rim Territories,Unknown,Unknown,Unknown
D'assem,Unknown,Unknown,Unknown,Unknown
Dathomir,Outer Rim Territories,Quelli sector,Dathomir system,"Fromprath(laterexiled),Zabraks(Dathomirian)"
Davnar II,Core Worlds,Unknown,Unknown,Unknown
Daxam IV,Outer Rim Territories,Unknown,Unknown,Unknown
Daxan Beta,Unknown,Unknown,Unknown,Unknown
The Deep,Unknown Regions,Unknown,Unknown,Tectozin
Deko Neimoidia,Colonies,Unknown,Unknown,Unknown
Delphon,Outer Rim Territories,Anoat sector,Unknown,Unknown
Delrian Prison Planet,Unknown,Unknown,Unknown,Unknown
Demir,Unknown Regions,Unknown,Unknown,Demirians
Denash,Outer Rim Territories,Batonn sector,Unknown,Unknown
Denon,Inner Rim Territories,Unknown,Denon system,Humans
Deris-plata,Unknown,Unknown,Unknown,Unknown
Dermos,Outer Rim Territories,Unknown,Unknown,Unknown
Desinta,Outer Rim Territories,Unknown,Unknown,Unknown
Desix,Unknown,Unknown,Unknown,Unknown
Devalok,Unknown,Unknown,Unknown,Unknown
Devaron,Colonies,Duluur sector,Devaron system,Devaronians
Dhandu,Expansion Region,Unknown,Unknown,Unknown
Dianth,Unknown,Unknown,Malitoris system,Unknown
Dinwa Prime,Inner Rim Territories,Unknown,Unknown,Unknown
Dinzo,Mid Rim Territories,Unknown,Unknown,Unknown
Distilon,Unknown,Unknown,Unknown,Unknown
Dol'har Hyde,Outer Rim Territories,Unknown,Unknown,Unknown
Donovia,Unknown,Unknown,Unknown,Unknown
Dorin,Expansion Region,Unknown,Unknown,Kel Dor
Dotharian,Hutt Space,Unknown,Unknown,Unknown
Dowut,Core Worlds,Unknown,Unknown,Dowutin
D'Qar,Outer Rim Territories,Sanbra sector,Ileenium system,Unknown
